SCell CellID,Lon,Lat
121907249,105.427,28.8831
121907250,105.427,28.8831
121907251,105.427,28.8831
121907505,105.447,28.8857
121907506,105.447,28.8857
121907507,105.447,28.8857
121907761,105.416507,28.907158
121907762,105.416507,28.907158
121908017,105.436,28.888
121908018,105.436,28.888
121908019,105.436,28.888
121908273,105.452,28.8787
121908274,105.452,28.8787
121908275,105.452,28.8787
121910065,105.444,28.8825
121910066,105.444,28.8825
121910067,105.444,28.8825
121910577,105.429,28.8817
121910578,105.429,28.8817
121910579,105.429,28.8817
121911089,105.4188,28.9011
121911090,105.4188,28.9011
121911345,105.431,28.8927
121911346,105.431,28.8927
121911601,105.40722,28.8802
121911602,105.40722,28.8802
121911603,105.40722,28.8802
121911857,105.4094209,28.8808148
121911858,105.4094209,28.8808148
121911859,105.4094209,28.8808148
121912113,105.454,28.8848
121912114,105.454,28.8848
121912115,105.454,28.8848
121912369,105.438,28.8788
121912370,105.438,28.8788
121912371,105.438,28.8788
121912625,105.439,28.9008
121912626,105.439,28.9008
121912627,105.439,28.9008
121912881,105.4447749,28.9798038
121912882,105.4447749,28.9798038
121912883,105.4447749,28.9798038
121913137,105.428,28.8903
121913138,105.428,28.8903
121913139,105.428,28.8903
121913649,105.447,28.8971
121913650,105.447,28.8971
121913651,105.447,28.8971
121913906,105.446,28.8983
121913907,105.446,28.8983
121914417,105.43441,29.02368
121914418,105.43441,29.02368
121914673,105.414,28.8903
121914674,105.414,28.8903
121914675,105.414,28.8903
121914676,105.414,28.8903
121914677,105.414,28.8903
121914678,105.414,28.8903
121914929,105.431,28.8819
121914930,105.431,28.8819
121914931,105.431,28.8819
121915185,105.448,28.915
121915186,105.448,28.915
121915187,105.448,28.915
121915441,105.421,28.9079
121915442,105.421,28.9079
121915443,105.421,28.9079
121915697,105.435,28.8951
121915698,105.435,28.8951
121915699,105.435,28.8951
121915700,105.435,28.8951
121915953,105.431,28.9193
121915954,105.431,28.9193
121915955,105.431,28.9193
121916209,105.433,28.8765
121916210,105.433,28.8765
121916211,105.433,28.8765
121916465,105.43,28.8802
121916466,105.43,28.8802
121916467,105.43,28.8802
121916721,105.427,28.9041
121916722,105.427,28.9041
121916723,105.427,28.9041
121916977,105.443,28.8732
121916978,105.443,28.8732
121916979,105.443,28.8732
121916980,105.443,28.8732
121916981,105.443,28.8732
